2017SegmentationCaseKey,RespondentID,SegmentCode,CustomerType,SpendingRange,Visit,Spending,BrandType,PPA,dwh_create_date
91,92810,Seg.01,Mass,0 - 25000,2,44000,Independent,22000,2025-09-20 14:28:49.383000000
92,92810,Seg.01,Mass,0 - 25000,1,15000,Street,15000,2025-09-20 14:28:49.383000000
93,92812,Seg.01,Mass,0 - 25000,2,30000,Street,15000,2025-09-20 14:28:49.383000000
94,92812,Seg.02,Mass Asp,25000 - 59000,1,30000,Independent,30000,2025-09-20 14:28:49.383000000
95,92813,Seg.01,Mass,0 - 25000,4,60000,Street,15000,2025-09-20 14:28:49.383000000
96,92815,Seg.02,Mass Asp,25000 - 59000,2,112000,Chain,56000,2025-09-20 14:28:49.383000000
97,92815,Seg.02,Mass Asp,25000 - 59000,2,50000,Independent,25000,2025-09-20 14:28:49.383000000
98,92816,Seg.02,Mass Asp,25000 - 59000,4,140000,Chain,35000,2025-09-20 14:28:49.383000000
99,92816,Seg.01,Mass,0 - 25000,6,78000,Street,13000,2025-09-20 14:28:49.383000000
100,92820,Seg.01,Mass,0 - 25000,3,60000,Street,20000,2025-09-20 14:28:49.383000000
101,92820,Seg.02,Mass Asp,25000 - 59000,5,250000,Chain,50000,2025-09-20 14:28:49.383000000
102,92821,Seg.02,Mass Asp,25000 - 59000,8,400000,Independent,50000,2025-09-20 14:28:49.383000000
103,92821,Seg.03,Premium,60000 - 99000,14,1120000,Chain,80000,2025-09-20 14:28:49.383000000
104,92821,Seg.01,Mass,0 - 25000,2,44000,Street,22000,2025-09-20 14:28:49.383000000
105,92839,Seg.02,Mass Asp,25000 - 59000,4,220000,Chain,55000,2025-09-20 14:28:49.383000000
106,92874,Seg.01,Mass,0 - 25000,30,450000,Street,15000,2025-09-20 14:28:49.383000000
107,92875,Seg.02,Mass Asp,25000 - 59000,6,240000,Independent,40000,2025-09-20 14:28:49.383000000
108,92875,Seg.02,Mass Asp,25000 - 59000,3,75000,Street,25000,2025-09-20 14:28:49.383000000
109,92918,Seg.01,Mass,0 - 25000,30,360000,Street,12000,2025-09-20 14:28:49.383000000
110,92972,Seg.01,Mass,0 - 25000,7,84000,Street,12000,2025-09-20 14:28:49.383000000
111,92972,Seg.01,Mass,0 - 25000,2,30000,Independent,15000,2025-09-20 14:28:49.383000000
112,93048,Seg.01,Mass,0 - 25000,30,300000,Street,10000,2025-09-20 14:28:49.383000000
113,93050,Seg.01,Mass,0 - 25000,24,240000,Street,10000,2025-09-20 14:28:49.383000000
114,93066,Seg.02,Mass Asp,25000 - 59000,1,35000,Chain,35000,2025-09-20 14:28:49.383000000
115,93066,Seg.01,Mass,0 - 25000,2,36000,Street,18000,2025-09-20 14:28:49.383000000
116,93165,Seg.02,Mass Asp,25000 - 59000,30,780000,Street,26000,2025-09-20 14:28:49.383000000
117,93166,Seg.01,Mass,0 - 25000,2,44000,Independent,22000,2025-09-20 14:28:49.383000000
118,93167,Seg.01,Mass,0 - 25000,3,60000,Independent,20000,2025-09-20 14:28:49.383000000
119,93167,Seg.01,Mass,0 - 25000,1,15000,Street,15000,2025-09-20 14:28:49.383000000
120,93168,Seg.01,Mass,0 - 25000,10,230000,Street,23000,2025-09-20 14:28:49.383000000
121,93168,Seg.02,Mass Asp,25000 - 59000,20,800000,Chain,40000,2025-09-20 14:28:49.383000000
122,93183,Seg.02,Mass Asp,25000 - 59000,10,400000,Chain,40000,2025-09-20 14:28:49.383000000
123,93183,Seg.01,Mass,0 - 25000,20,400000,Street,20000,2025-09-20 14:28:49.383000000
124,93185,Seg.01,Mass,0 - 25000,3,45000,Street,15000,2025-09-20 14:28:49.383000000
125,93185,Seg.02,Mass Asp,25000 - 59000,1,40000,Chain,40000,2025-09-20 14:28:49.383000000
126,93186,Seg.02,Mass Asp,25000 - 59000,4,100000,Independent,25000,2025-09-20 14:28:49.383000000
127,93188,Seg.01,Mass,0 - 25000,3,36000,Street,12000,2025-09-20 14:28:49.383000000
128,93191,Seg.02,Mass Asp,25000 - 59000,2,80000,Chain,40000,2025-09-20 14:28:49.383000000
129,93191,Seg.02,Mass Asp,25000 - 59000,8,240000,Street,30000,2025-09-20 14:28:49.383000000
130,93207,Seg.01,Mass,0 - 25000,4,60000,Independent,15000,2025-09-20 14:28:49.383000000
131,93327,Seg.02,Mass Asp,25000 - 59000,12,540000,Chain,45000,2025-09-20 14:28:49.383000000
132,93328,Seg.02,Mass Asp,25000 - 59000,2,100000,Chain,50000,2025-09-20 14:28:49.383000000
133,93328,Seg.01,Mass,0 - 25000,10,150000,Street,15000,2025-09-20 14:28:49.383000000
134,93385,Seg.01,Mass,0 - 25000,10,150000,Street,15000,2025-09-20 14:28:49.383000000
135,93385,Seg.02,Mass Asp,25000 - 59000,6,330000,Chain,55000,2025-09-20 14:28:49.383000000
136,93386,Seg.02,Mass Asp,25000 - 59000,4,140000,Chain,35000,2025-09-20 14:28:49.383000000
137,93387,Seg.02,Mass Asp,25000 - 59000,5,250000,Chain,50000,2025-09-20 14:28:49.383000000
138,93388,Seg.02,Mass Asp,25000 - 59000,4,200000,Chain,50000,2025-09-20 14:28:49.383000000
139,93389,Seg.01,Mass,0 - 25000,24,288000,Street,12000,2025-09-20 14:28:49.383000000
140,93390,Seg.01,Mass,0 - 25000,2,24000,Street,12000,2025-09-20 14:28:49.383000000
141,93391,Seg.02,Mass Asp,25000 - 59000,5,250000,Chain,50000,2025-09-20 14:28:49.383000000
142,93392,Seg.01,Mass,0 - 25000,5,60000,Street,12000,2025-09-20 14:28:49.383000000
143,93979,Seg.01,Mass,0 - 25000,4,80000,Independent,20000,2025-09-20 14:28:49.383000000
144,93980,Seg.01,Mass,0 - 25000,24,288000,Independent,12000,2025-09-20 14:28:49.383000000
145,93981,Seg.02,Mass Asp,25000 - 59000,2,60000,Chain,30000,2025-09-20 14:28:49.383000000
146,93981,Seg.02,Mass Asp,25000 - 59000,6,270000,Independent,45000,2025-09-20 14:28:49.383000000
147,93982,Seg.02,Mass Asp,25000 - 59000,6,300000,Independent,50000,2025-09-20 14:28:49.383000000
148,93982,Seg.02,Mass Asp,25000 - 59000,2,60000,Chain,30000,2025-09-20 14:28:49.383000000
149,94027,Seg.02,Mass Asp,25000 - 59000,8,400000,Chain,50000,2025-09-20 14:28:49.383000000
150,94132,Seg.03,Premium,60000 - 99000,8,480000,Chain,60000,2025-09-20 14:28:49.383000000
151,94133,Seg.04,Super Premium,100000+,4,400000,Chain,100000,2025-09-20 14:28:49.383000000
152,94134,Seg.01,Mass,0 - 25000,30,600000,Street,20000,2025-09-20 14:28:49.383000000
153,94136,Seg.02,Mass Asp,25000 - 59000,7,280000,Chain,40000,2025-09-20 14:28:49.383000000
154,94137,Seg.03,Premium,60000 - 99000,30,2100000,Chain,70000,2025-09-20 14:28:49.383000000
155,94138,Seg.03,Premium,60000 - 99000,3,180000,Chain,60000,2025-09-20 14:28:49.383000000
156,94201,Seg.01,Mass,0 - 25000,4,80000,Independent,20000,2025-09-20 14:28:49.383000000
157,94201,Seg.01,Mass,0 - 25000,26,260000,Street,10000,2025-09-20 14:28:49.383000000
158,94202,Seg.01,Mass,0 - 25000,1,10000,Street,10000,2025-09-20 14:28:49.383000000
159,94202,Seg.01,Mass,0 - 25000,4,68000,Independent,17000,2025-09-20 14:28:49.383000000
160,94203,Seg.01,Mass,0 - 25000,30,300000,Independent,10000,2025-09-20 14:28:49.383000000
161,94204,Seg.01,Mass,0 - 25000,30,360000,Independent,12000,2025-09-20 14:28:49.383000000
162,94204,Seg.01,Mass,0 - 25000,2,16000,Street,8000,2025-09-20 14:28:49.383000000
163,94205,Seg.01,Mass,0 - 25000,2,16000,Street,8000,2025-09-20 14:28:49.383000000
164,94205,Seg.01,Mass,0 - 25000,20,240000,Chain,12000,2025-09-20 14:28:49.383000000
165,94205,Seg.01,Mass,0 - 25000,8,96000,Independent,12000,2025-09-20 14:28:49.383000000
166,94206,Seg.01,Mass,0 - 25000,8,96000,Independent,12000,2025-09-20 14:28:49.383000000
167,94210,Seg.02,Mass Asp,25000 - 59000,4,200000,Chain,50000,2025-09-20 14:28:49.383000000
168,94211,Seg.01,Mass,0 - 25000,4,60000,Street,15000,2025-09-20 14:28:49.383000000
169,94214,Seg.01,Mass,0 - 25000,4,60000,Street,15000,2025-09-20 14:28:49.383000000
170,94214,Seg.02,Mass Asp,25000 - 59000,4,160000,Chain,40000,2025-09-20 14:28:49.383000000
171,94215,Seg.03,Premium,60000 - 99000,8,480000,Chain,60000,2025-09-20 14:28:49.383000000
172,94216,Seg.01,Mass,0 - 25000,4,48000,Street,12000,2025-09-20 14:28:49.383000000
173,94225,Seg.03,Premium,60000 - 99000,12,1080000,Chain,90000,2025-09-20 14:28:49.383000000
174,94226,Seg.02,Mass Asp,25000 - 59000,2,80000,Chain,40000,2025-09-20 14:28:49.383000000
175,94226,Seg.01,Mass,0 - 25000,6,72000,Street,12000,2025-09-20 14:28:49.383000000
176,94227,Seg.02,Mass Asp,25000 - 59000,4,200000,Chain,50000,2025-09-20 14:28:49.383000000
177,94647,Seg.01,Mass,0 - 25000,30,300000,Street,10000,2025-09-20 14:28:49.383000000
178,94741,Seg.01,Mass,0 - 25000,16,192000,Street,12000,2025-09-20 14:28:49.383000000
179,94803,Seg.02,Mass Asp,25000 - 59000,8,200000,Street,25000,2025-09-20 14:28:49.383000000
180,94804,Seg.01,Mass,0 - 25000,2,40000,Independent,20000,2025-09-20 14:28:49.383000000
181,94804,Seg.01,Mass,0 - 25000,1,17000,Street,17000,2025-09-20 14:28:49.383000000
182,94805,Seg.02,Mass Asp,25000 - 59000,8,440000,Chain,55000,2025-09-20 14:28:49.383000000
183,94806,Seg.02,Mass Asp,25000 - 59000,11,275000,Independent,25000,2025-09-20 14:28:49.383000000
184,94806,Seg.01,Mass,0 - 25000,1,16000,Street,16000,2025-09-20 14:28:49.383000000
185,94838,Seg.01,Mass,0 - 25000,24,288000,Street,12000,2025-09-20 14:28:49.383000000
186,94868,Seg.01,Mass,0 - 25000,20,200000,Street,10000,2025-09-20 14:28:49.383000000
187,94868,Seg.02,Mass Asp,25000 - 59000,4,180000,Chain,45000,2025-09-20 14:28:49.383000000
188,94869,Seg.01,Mass,0 - 25000,10,100000,Street,10000,2025-09-20 14:28:49.383000000
189,94870,Seg.01,Mass,0 - 25000,12,144000,Street,12000,2025-09-20 14:28:49.383000000
190,94871,Seg.01,Mass,0 - 25000,12,120000,Street,10000,2025-09-20 14:28:49.383000000
191,94981,Seg.01,Mass,0 - 25000,20,200000,Independent,10000,2025-09-20 14:28:49.383000000
192,94981,Seg.01,Mass,0 - 25000,9,90000,Street,10000,2025-09-20 14:28:49.383000000
193,94981,Seg.01,Mass,0 - 25000,1,15000,Chain,15000,2025-09-20 14:28:49.383000000
194,94984,Seg.02,Mass Asp,25000 - 59000,10,250000,Independent,25000,2025-09-20 14:28:49.383000000
195,94985,Seg.03,Premium,60000 - 99000,10,600000,Chain,60000,2025-09-20 14:28:49.383000000
196,94986,Seg.02,Mass Asp,25000 - 59000,2,50000,Independent,25000,2025-09-20 14:28:49.383000000
197,94986,Seg.01,Mass,0 - 25000,2,30000,Street,15000,2025-09-20 14:28:49.383000000
198,94987,Seg.02,Mass Asp,25000 - 59000,9,270000,Independent,30000,2025-09-20 14:28:49.383000000
199,94988,Seg.02,Mass Asp,25000 - 59000,2,100000,Chain,50000,2025-09-20 14:28:49.383000000
200,94988,Seg.01,Mass,0 - 25000,1,15000,Street,15000,2025-09-20 14:28:49.383000000
201,94991,Seg.02,Mass Asp,25000 - 59000,3,150000,Chain,50000,2025-09-20 14:28:49.383000000
202,95051,Seg.01,Mass,0 - 25000,15,150000,Street,10000,2025-09-20 14:28:49.383000000
203,95052,Seg.01,Mass,0 - 25000,3,36000,Street,12000,2025-09-20 14:28:49.383000000
204,95052,Seg.02,Mass Asp,25000 - 59000,1,55000,Chain,55000,2025-09-20 14:28:49.383000000
205,95055,Seg.01,Mass,0 - 25000,4,80000,Chain,20000,2025-09-20 14:28:49.383000000
206,95189,Seg.02,Mass Asp,25000 - 59000,12,480000,Independent,40000,2025-09-20 14:28:49.383000000
207,95190,Seg.01,Mass,0 - 25000,20,200000,Street,10000,2025-09-20 14:28:49.383000000
208,95191,Seg.01,Mass,0 - 25000,5,75000,Street,15000,2025-09-20 14:28:49.383000000
209,95192,Seg.01,Mass,0 - 25000,12,192000,Independent,16000,2025-09-20 14:28:49.383000000
210,95193,Seg.02,Mass Asp,25000 - 59000,5,250000,Chain,50000,2025-09-20 14:28:49.383000000
211,95250,Seg.01,Mass,0 - 25000,3,45000,Street,15000,2025-09-20 14:28:49.383000000
212,95252,Seg.01,Mass,0 - 25000,30,360000,Street,12000,2025-09-20 14:28:49.383000000
213,95253,Seg.02,Mass Asp,25000 - 59000,3,90000,Chain,30000,2025-09-20 14:28:49.383000000
214,95254,Seg.01,Mass,0 - 25000,1,12000,Street,12000,2025-09-20 14:28:49.383000000
215,95254,Seg.02,Mass Asp,25000 - 59000,4,140000,Chain,35000,2025-09-20 14:28:49.383000000
216,95719,Seg.02,Mass Asp,25000 - 59000,8,200000,Independent,25000,2025-09-20 14:28:49.383000000
217,95720,Seg.02,Mass Asp,25000 - 59000,7,210000,Independent,30000,2025-09-20 14:28:49.383000000
218,95720,Seg.01,Mass,0 - 25000,23,345000,Street,15000,2025-09-20 14:28:49.383000000
219,95723,Seg.01,Mass,0 - 25000,3,42000,Street,14000,2025-09-20 14:28:49.383000000
220,95723,Seg.02,Mass Asp,25000 - 59000,6,156000,Independent,26000,2025-09-20 14:28:49.383000000
221,95725,Seg.01,Mass,0 - 25000,3,60000,Independent,20000,2025-09-20 14:28:49.383000000
222,95725,Seg.01,Mass,0 - 25000,1,15000,Street,15000,2025-09-20 14:28:49.383000000
223,95727,Seg.01,Mass,0 - 25000,3,60000,Street,20000,2025-09-20 14:28:49.383000000
224,95727,Seg.02,Mass Asp,25000 - 59000,1,30000,Independent,30000,2025-09-20 14:28:49.383000000
225,95729,Seg.01,Mass,0 - 25000,4,80000,Independent,20000,2025-09-20 14:28:49.383000000
226,95729,Seg.01,Mass,0 - 25000,6,108000,Street,18000,2025-09-20 14:28:49.383000000
227,95731,Seg.01,Mass,0 - 25000,1,20000,Independent,20000,2025-09-20 14:28:49.383000000
228,95731,Seg.01,Mass,0 - 25000,3,45000,Street,15000,2025-09-20 14:28:49.383000000
229,95733,Seg.02,Mass Asp,25000 - 59000,9,225000,Independent,25000,2025-09-20 14:28:49.383000000
230,95770,Seg.01,Mass,0 - 25000,30,450000,Independent,15000,2025-09-20 14:28:49.383000000
231,95771,Seg.01,Mass,0 - 25000,4,40000,Street,10000,2025-09-20 14:28:49.383000000
232,95772,Seg.01,Mass,0 - 25000,2,20000,Independent,10000,2025-09-20 14:28:49.383000000
233,95772,Seg.01,Mass,0 - 25000,3,21000,Street,7000,2025-09-20 14:28:49.383000000
234,95773,Seg.01,Mass,0 - 25000,8,80000,Street,10000,2025-09-20 14:28:49.383000000
235,95834,Seg.03,Premium,60000 - 99000,2,120000,Chain,60000,2025-09-20 14:28:49.383000000
236,95834,Seg.01,Mass,0 - 25000,2,24000,Street,12000,2025-09-20 14:28:49.383000000
237,95834,Seg.02,Mass Asp,25000 - 59000,4,100000,Independent,25000,2025-09-20 14:28:49.383000000
238,95847,Seg.01,Mass,0 - 25000,5,75000,Street,15000,2025-09-20 14:28:49.383000000
239,95848,Seg.01,Mass,0 - 25000,20,200000,Street,10000,2025-09-20 14:28:49.383000000
240,95908,Seg.01,Mass,0 - 25000,20,400000,Street,20000,2025-09-20 14:28:49.383000000
241,95908,Seg.02,Mass Asp,25000 - 59000,10,500000,Independent,50000,2025-09-20 14:28:49.383000000
242,95909,Seg.03,Premium,60000 - 99000,2,130000,Chain,65000,2025-09-20 14:28:49.383000000
243,95909,Seg.01,Mass,0 - 25000,8,96000,Street,12000,2025-09-20 14:28:49.383000000
244,95909,Seg.02,Mass Asp,25000 - 59000,20,700000,Independent,35000,2025-09-20 14:28:49.383000000
245,95910,Seg.02,Mass Asp,25000 - 59000,30,1500000,Chain,50000,2025-09-20 14:28:49.383000000
246,95911,Seg.01,Mass,0 - 25000,20,400000,Street,20000,2025-09-20 14:28:49.383000000
247,95912,Seg.03,Premium,60000 - 99000,8,480000,Chain,60000,2025-09-20 14:28:49.383000000
248,95912,Seg.01,Mass,0 - 25000,2,24000,Street,12000,2025-09-20 14:28:49.383000000
249,95913,Seg.02,Mass Asp,25000 - 59000,8,240000,Chain,30000,2025-09-20 14:28:49.383000000
250,96122,Seg.02,Mass Asp,25000 - 59000,5,275000,Chain,55000,2025-09-20 14:28:49.383000000
251,96306,Seg.02,Mass Asp,25000 - 59000,1,55000,Chain,55000,2025-09-20 14:28:49.383000000
252,96306,Seg.01,Mass,0 - 25000,29,290000,Street,10000,2025-09-20 14:28:49.383000000
253,96307,Seg.02,Mass Asp,25000 - 59000,4,120000,Independent,30000,2025-09-20 14:28:49.383000000
254,96308,Seg.02,Mass Asp,25000 - 59000,2,80000,Independent,40000,2025-09-20 14:28:49.383000000
255,96500,Seg.02,Mass Asp,25000 - 59000,1,50000,Chain,50000,2025-09-20 14:28:49.383000000
256,96500,Seg.01,Mass,0 - 25000,7,70000,Street,10000,2025-09-20 14:28:49.383000000
257,96542,Seg.01,Mass,0 - 25000,5,50000,Street,10000,2025-09-20 14:28:49.383000000
258,96542,Seg.01,Mass,0 - 25000,5,100000,Chain,20000,2025-09-20 14:28:49.383000000
259,96566,Seg.02,Mass Asp,25000 - 59000,8,400000,Chain,50000,2025-09-20 14:28:49.383000000
260,96567,Seg.02,Mass Asp,25000 - 59000,8,400000,Chain,50000,2025-09-20 14:28:49.383000000
261,96567,Seg.01,Mass,0 - 25000,4,48000,Street,12000,2025-09-20 14:28:49.383000000
262,96568,Seg.01,Mass,0 - 25000,2,28000,Street,14000,2025-09-20 14:28:49.383000000
263,96568,Seg.02,Mass Asp,25000 - 59000,1,28000,Independent,28000,2025-09-20 14:28:49.383000000
264,96598,Seg.02,Mass Asp,25000 - 59000,3,75000,Independent,25000,2025-09-20 14:28:49.383000000
265,96598,Seg.01,Mass,0 - 25000,1,17000,Street,17000,2025-09-20 14:28:49.383000000
