RespondentKey,RespondentID,CityID,GroupSize,Age,Gender,TopOfMind,BrandUseMostOften,BrandUseMostOften_Previous,MostFavourite,AgeGroup,MPI,Occupation,OccupationGroup,Year,MPI_Mean_Use,,,,,,,
14,90421,2,2,47,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
15,90422,2,3,50,Male,Independent Cafe,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
16,90423,2,4,40,Female,Highlands Coffee,Street Coffee,Don't have any brands,Highlands Coffee,40 - 44 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
17,90424,2,4,18,Female,Trung Nguyên,Street Coffee,Don't have any brands,Urban Station,16 - 19 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
18,90519,2,3,33,Female,Trung Nguyên,Trung Nguyên,Don't have any brands,Trung Nguyên,30 - 34 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
19,91139,2,1,57,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
20,91140,2,1,35,Male,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,35 - 39 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
21,91142,2,6,38,Female,Trung Nguyên,The Coffee House,Street Coffee,The Coffee House,35 - 39 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
22,91143,2,2,51,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
23,91323,2,2,31,Male,Trung Nguyên,Trung Nguyên,Don't have any brands,Trung Nguyên,30 - 34 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
24,91439,2,4,20,Female,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,20 - 24 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
25,91489,2,3,30,Female,Trung Nguyên,Trung Nguyên,Milano,Highlands Coffee,30 - 34 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
26,91490,2,4,32,Male,Trung Nguyên,Trung Nguyên,Don't have any brands,Trung Nguyên,30 - 34 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
27,91770,2,3,53,Female,Trung Nguyên,Phúc Long,Trung Nguyên,Phúc Long,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
28,91801,2,1,52,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
29,91852,2,2,34,Female,Milano,Milano,Trung Nguyên,Milano,30 - 34 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
30,91853,2,3,46,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
31,91854,2,1,40,Female,Street Coffee,Street Coffee,Don't have any brands,Trung Nguyên,40 - 44 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
32,91855,2,1,60,Female,Street Coffee,Street Coffee,Don't have any brands,Independent Cafe,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
33,92021,2,4,38,Male,Milano,Milano,Don't have any brands,Milano,35 - 39 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
34,92022,2,3,48,Male,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,45+ ,N/A,Freelance,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
35,92023,2,4,37,Female,Trung Nguyên,Milano,Don't have any brands,Milano,35 - 39 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
36,92071,2,2,39,Male,Other,Street Coffee,Highlands Coffee,Other,35 - 39 ,N/A,Self Employed Â - Company owner (under 10 employees),Self Employed - Company Owner,2017,N/A,,,,,,,
37,92072,2,3,50,Male,Independent Cafe,Independent Cafe,Street Coffee,Phúc Long,45+ ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
38,92073,2,4,40,Female,Independent Cafe,Independent Cafe,Don't have any brands,The Coffee House,40 - 44 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
39,92075,2,1,48,Female,Street Coffee,Street Coffee,Milano,Highlands Coffee,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
40,92076,2,1,24,Female,Trung Nguyên,Street Coffee,Don't have any brands,Phúc Long,20 - 24 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
41,92078,2,5,24,Female,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,20 - 24 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
42,92079,2,3,40,Female,Trung Nguyên,Trung Nguyên,Highlands Coffee,Gong Cha,40 - 44 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
43,92157,2,3,52,Female,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
44,92182,2,3,41,Female,Independent Cafe,Street Coffee,Don't have any brands,Independent Cafe,40 - 44 ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
45,92183,2,2,50,Male,Trung Nguyên,Trung Nguyên,Milano,Trung Nguyên,45+ ,N/A,Skilled Labor (tailor,Blue Collar,2017,N/A,,,,,,,
46,92200,2,2,36,Female,Highlands Coffee,Street Coffee,Don't have any brands,Highlands Coffee,35 - 39 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
47,92316,2,5,26,Female,Gong Cha,Gong Cha,Independent Cafe,Gong Cha,25 - 29 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
48,92317,2,2,32,Female,Highlands Coffee,Coffee Bean & Tea Leaf,Don't have any brands,Coffee Bean & Tea Leaf,30 - 34 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
49,92564,2,4,49,Female,Independent Cafe,Street Coffee,Don't have any brands,Independent Cafe,45+ ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
50,92584,2,3,37,Male,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,35 - 39 ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
51,92610,2,4,39,Female,Street Coffee,Street Coffee,Don't have any brands,Independent Cafe,35 - 39 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
52,92615,2,4,30,Female,Trung Nguyên,Highlands Coffee,Independent Cafe,Highlands Coffee,30 - 34 ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
53,92616,2,3,41,Female,Phúc Long,Th?c Coffee,Don't have any brands,Th?c Coffee,40 - 44 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
54,92622,2,3,43,Female,Independent Cafe,Independent Cafe,Street Coffee,Independent Cafe,40 - 44 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
55,92639,2,2,40,Female,Street Coffee,Street Coffee,Don't have any brands,Highlands Coffee,40 - 44 ,N/A,Skilled Labor (tailor,Blue Collar,2017,N/A,,,,,,,
56,92640,2,4,44,Female,Street Coffee,Other,Street Coffee,Phúc Long,40 - 44 ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
57,92641,2,4,18,Male,Street Coffee,Street Coffee,Don't have any brands,Highlands Coffee,16 - 19 ,N/A,Semi-skilled labor (salesperson,Blue Collar,2017,N/A,,,,,,,
58,92690,2,5,50,Male,Street Coffee,Street Coffee,Don't have any brands,Phúc Long,45+ ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
59,92719,2,2,59,Female,Highlands Coffee,Independent Cafe,Phúc Long,Independent Cafe,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
60,92738,2,2,48,Female,The Coffee House,The Coffee House,Coffee Bean & Tea Leaf,The Coffee House,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
61,92810,2,2,44,Female,Trung Nguyên,Independent Cafe,Street Coffee,Independent Cafe,40 - 44 ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
62,92812,2,5,39,Female,Independent Cafe,Independent Cafe,Street Coffee,Trung Nguyên,35 - 39 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
63,92813,2,6,48,Male,Street Coffee,Street Coffee,Don't have any brands,Trung Nguyên,45+ ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
64,92815,2,3,51,Female,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
65,92816,2,4,19,Male,Highlands Coffee,Street Coffee,Don't have any brands,Gong Cha,16 - 19 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
66,92820,2,4,49,Female,Highlands Coffee,Highlands Coffee,Trung Nguyên,Highlands Coffee,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
67,92821,2,6,51,Female,Trung Nguyên,Trung Nguyên,Independent Cafe,Trung Nguyên,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
68,92839,2,2,23,Female,The Coffee House,Highlands Coffee,Don't have any brands,Highlands Coffee,20 - 24 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
69,92874,2,1,52,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
70,92875,2,3,48,Female,Independent Cafe,Independent Cafe,Trung Nguyên,Highlands Coffee,45+ ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
71,92918,2,1,57,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
72,92972,2,3,40,Female,Trung Nguyên,Street Coffee,Independent Cafe,Trung Nguyên,40 - 44 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
73,93048,2,1,45,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Skilled Labor (tailor,Blue Collar,2017,N/A,,,,,,,
74,93050,2,1,56,Female,Street Coffee,Street Coffee,Don't have any brands,Trung Nguyên,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
75,93066,2,2,57,Female,Street Coffee,Street Coffee,Don't have any brands,Highlands Coffee,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
76,93165,2,4,60,Female,Trung Nguyên,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
77,93166,2,2,47,Female,Street Coffee,Independent Cafe,Don't have any brands,Independent Cafe,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
78,93167,2,2,58,Female,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
79,93168,2,5,49,Male,Trung Nguyên,Trung Nguyên,Don't have any brands,Trung Nguyên,45+ ,N/A,Self Employed Â - Company owner (under 10 employees),Self Employed - Company Owner,2017,N/A,,,,,,,
80,93183,2,2,41,Male,Trung Nguyên,Street Coffee,Trung Nguyên,Trung Nguyên,40 - 44 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
81,93185,2,3,53,Female,The Coffee House,Street Coffee,Don't have any brands,Other,45+ ,N/A,Self Employed Â - Company owner (under 10 employees),Self Employed - Company Owner,2017,N/A,,,,,,,
82,93186,2,2,20,Female,Independent Cafe,Independent Cafe,Don't have any brands,Starbucks,20 - 24 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
83,93188,2,1,60,Male,Trung Nguyên,Street Coffee,Don't have any brands,Other,45+ ,N/A,Retirement,None Working,2017,N/A,,,,,,,
84,93191,2,3,43,Female,Street Coffee,Street Coffee,Don't have any brands,Trung Nguyên,40 - 44 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
85,93207,2,4,34,Male,Independent Cafe,Independent Cafe,Street Coffee,Trung Nguyên,30 - 34 ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
86,93327,2,2,39,Female,Passio,Passio,Street Coffee,Passio,35 - 39 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
87,93328,2,2,41,Female,Highlands Coffee,Street Coffee,Don't have any brands,Milano,40 - 44 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
88,93385,2,4,43,Male,Street Coffee,Street Coffee,Don't have any brands,The Coffee Factory,40 - 44 ,N/A,Semi-skilled labor (salesperson,Blue Collar,2017,N/A,,,,,,,
89,93386,2,6,25,Female,Phúc Long,Phúc Long,Don't have any brands,Phúc Long,25 - 29 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
90,93387,2,4,26,Female,Other,Other,Don't have any brands,Other,25 - 29 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
91,93388,2,3,22,Male,Phúc Long,Highlands Coffee,Don't have any brands,Starbucks,20 - 24 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
92,93389,2,1,26,Male,Street Coffee,Street Coffee,Don't have any brands,The Coffee House,25 - 29 ,N/A,Semi-skilled labor (salesperson,Blue Collar,2017,N/A,,,,,,,
93,93390,2,1,52,Female,Street Coffee,Street Coffee,Don't have any brands,Highlands Coffee,45+ ,N/A,Lecturer / Teacher,White Collar,2017,N/A,,,,,,,
94,93391,2,2,25,Female,Phúc Long,Phúc Long,Don't have any brands,Phúc Long,25 - 29 ,N/A,Semi-skilled labor (salesperson,Blue Collar,2017,N/A,,,,,,,
95,93392,2,3,23,Male,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,20 - 24 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
96,93979,2,4,31,Female,Independent Cafe,Independent Cafe,Trung Nguyên,Independent Cafe,30 - 34 ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
97,93980,2,2,42,Female,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,40 - 44 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
98,93981,2,3,42,Male,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,40 - 44 ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
99,93982,2,3,36,Female,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,35 - 39 ,N/A,Professional (doctor,White Collar,2017,N/A,,,,,,,
100,94027,2,4,31,Female,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,30 - 34 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
101,94132,2,4,24,Male,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,20 - 24 ,N/A,Freelance,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
102,94133,2,2,59,Female,Highlands Coffee,Trung Nguyên,Don't have any brands,Trung Nguyên,45+ ,N/A,Retirement,None Working,2017,N/A,,,,,,,
103,94134,2,2,58,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Retirement,None Working,2017,N/A,,,,,,,
104,94136,2,2,27,Male,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,25 - 29 ,N/A,Freelance,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
105,94137,2,2,40,Female,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,40 - 44 ,N/A,Skilled Labor (tailor,Blue Collar,2017,N/A,,,,,,,
106,94138,2,2,21,Female,Highlands Coffee,Highlands Coffee,Don't have any brands,Highlands Coffee,20 - 24 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
107,94201,3,3,33,Female,Independent Cafe,Street Coffee,Don't have any brands,Independent Cafe,30 - 34 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
108,94202,3,1,57,Female,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,45+ ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
109,94203,3,3,38,Male,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,35 - 39 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
110,94204,3,3,42,Female,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,40 - 44 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
111,94205,3,3,25,Male,Independent Cafe,Independent Cafe,Don't have any brands,Street Coffee,25 - 29 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
112,94206,3,3,35,Female,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,35 - 39 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
113,94210,2,3,40,Male,Trung Nguyên,Trung Nguyên,Street Coffee,Trung Nguyên,40 - 44 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
114,94211,2,4,19,Male,Street Coffee,Street Coffee,Independent Cafe,Independent Cafe,16 - 19 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
115,94214,2,4,36,Female,KOI Cafe,Street Coffee,Don't have any brands,KOI Cafe,35 - 39 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
116,94215,2,2,20,Female,Effoc,Effoc,Th?c Coffee,Th?c Coffee,20 - 24 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
117,94216,2,2,56,Female,Trung Nguyên,Street Coffee,Don't have any brands,Trung Nguyên,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
118,94225,2,6,55,Female,Phúc Long,Starbucks,Don't have any brands,Phúc Long,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
119,94226,2,2,17,Male,Trung Nguyên,Street Coffee,Don't have any brands,Highlands Coffee,16 - 19 ,N/A,Refuse,Refuse,2017,N/A,,,,,,,
120,94227,2,4,39,Female,Trung Nguyên,Highlands Coffee,Don't have any brands,Gong Cha,35 - 39 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
121,94647,2,2,52,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
122,94741,2,2,38,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,35 - 39 ,N/A,Skilled Labor (tailor,Blue Collar,2017,N/A,,,,,,,
123,94803,2,7,17,Female,Highlands Coffee,Street Coffee,Don't have any brands,Highlands Coffee,16 - 19 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
124,94804,2,3,40,Male,Street Coffee,Independent Cafe,Street Coffee,Independent Cafe,40 - 44 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
125,94805,2,6,18,Female,Passio,Passio,Don't have any brands,Passio,16 - 19 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
126,94806,2,5,35,Female,Independent Cafe,Independent Cafe,Street Coffee,Trung Nguyên,35 - 39 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
127,94838,2,1,46,Male,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
128,94868,2,2,50,Female,Trung Nguyên,Trung Nguyên,Don't have any brands,Highlands Coffee,45+ ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
129,94869,2,3,21,Female,Trung Nguyên,Street Coffee,Don't have any brands,Trung Nguyên,20 - 24 ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
130,94870,2,2,57,Female,Street Coffee,Street Coffee,Don't have any brands,Trung Nguyên,45+ ,N/A,Small Business (small shop owner,Self Employed - Small Business and Freelance,2017,N/A,,,,,,,
131,94871,2,1,51,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
132,94981,3,1,29,Male,Independent Cafe,Independent Cafe,Street Coffee,Independent Cafe,25 - 29 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
133,94984,2,5,25,Male,Independent Cafe,Independent Cafe,Street Coffee,Trung Nguyên,25 - 29 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
134,94985,2,3,21,Female,Starbucks,Starbucks,Street Coffee,Starbucks,20 - 24 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
135,94986,2,2,49,Female,Trung Nguyên,Independent Cafe,Don't have any brands,Independent Cafe,45+ ,N/A,Self Employed Â - Company owner (under 10 employees),Self Employed - Company Owner,2017,N/A,,,,,,,
136,94987,2,3,41,Female,Independent Cafe,Independent Cafe,Don't have any brands,Starbucks,40 - 44 ,N/A,Self Employed Â - Company owner (under 10 employees),Self Employed - Company Owner,2017,N/A,,,,,,,
137,94988,2,3,49,Female,Street Coffee,Street Coffee,Don't have any brands,Highlands Coffee,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
138,94991,2,5,27,Male,Street Coffee,Phúc Long,Street Coffee,Phúc Long,25 - 29 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
139,95051,3,1,34,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,30 - 34 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
140,95052,2,2,47,Female,Street Coffee,Street Coffee,Trung Nguyên,Highlands Coffee,45+ ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
141,95055,3,4,23,Female,Other,Other,Independent Cafe,Other,20 - 24 ,N/A,Skilled Labor (tailor,Blue Collar,2017,N/A,,,,,,,
142,95189,2,3,23,Male,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,20 - 24 ,N/A,Professional (doctor,White Collar,2017,N/A,,,,,,,
143,95190,2,2,42,Male,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,40 - 44 ,N/A,Semi-skilled labor (salesperson,Blue Collar,2017,N/A,,,,,,,
144,95191,2,3,43,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,40 - 44 ,N/A,Housewife,None Working,2017,N/A,,,,,,,
145,95192,2,4,34,Female,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,30 - 34 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
146,95193,2,5,19,Female,Phúc Long,Phúc Long,Don't have any brands,Phúc Long,16 - 19 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
147,95250,2,3,18,Male,Independent Cafe,Street Coffee,Don't have any brands,Phúc Long,16 - 19 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
148,95252,2,3,48,Male,Street Coffee,Street Coffee,Don't have any brands,Highlands Coffee,45+ ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
149,95253,2,2,21,Female,The Coffee House,The Coffee House,Street Coffee,The Coffee House,20 - 24 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
150,95254,2,6,19,Male,Independent Cafe,Urban Station,Passio,Urban Station,16 - 19 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
151,95719,2,4,18,Female,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,16 - 19 ,N/A,Pupil / Student,None Working,2017,N/A,,,,,,,
152,95720,2,3,55,Male,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
153,95723,2,5,37,Male,Street Coffee,Independent Cafe,Street Coffee,Independent Cafe,35 - 39 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
154,95725,2,5,33,Female,Street Coffee,Independent Cafe,Street Coffee,Independent Cafe,30 - 34 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
155,95727,2,6,44,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,40 - 44 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
156,95729,2,5,37,Male,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,35 - 39 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
157,95731,2,2,58,Female,Street Coffee,Street Coffee,Don't have any brands,Street Coffee,45+ ,N/A,Housewife,None Working,2017,N/A,,,,,,,
158,95733,2,5,25,Male,Independent Cafe,Independent Cafe,Don't have any brands,Phúc Long,25 - 29 ,N/A,Unskilled Labor (worker,Blue Collar,2017,N/A,,,,,,,
159,95770,3,4,31,Female,Independent Cafe,Independent Cafe,Don't have any brands,Independent Cafe,30 - 34 ,N/A,Officer - Staff level,White Collar,2017,N/A,,,,,,,
